Fol_2018-05-14.12_58_00.30_29.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
79     -2.02552 -29.66210   7.59200 -55.80871 -21.38412 -36.05746     (-5.566,-27.637) (-42.650,-2.026) (-8.226,-38.083) 19.5619  19.5619  
80     -2.03122 -29.67569   7.57617 -55.77741 -21.36259 -36.05904     (-5.545,-27.644) (-42.656,-2.031) (-8.241,-38.090) 19.5391  19.5391  
81     -2.03692 -29.68929   7.56034 -55.74611 -21.34106 -36.06061     (-5.523,-27.652) (-42.662,-2.037) (-8.257,-38.098) 19.5165  19.5165  
82     -2.04262 -29.70289   7.54450 -55.71481 -21.31953 -36.06219     (-5.502,-27.660) (-42.668,-2.043) (-8.273,-38.105) 19.494  19.494  
83     -2.04832 -29.71648   7.52867 -55.68351 -21.29800 -36.06377     (-5.480,-27.668) (-42.674,-2.048) (-8.289,-38.112) 19.4716  19.4716  
84     -2.05401 -29.73008   7.51284 -55.65221 -21.27647 -36.06534     (-5.459,-27.676) (-42.681,-2.054) (-8.305,-38.119) 19.4494  19.4494  
85     -2.05971 -29.74368   7.49700 -55.62091 -21.25493 -36.06692     (-5.437,-27.684) (-42.687,-2.060) (-8.321,-38.127) 19.4274  19.4274  
86     -2.06541 -29.75727   7.48117 -55.58961 -21.23340 -36.06850     (-5.416,-27.692) (-42.693,-2.065) (-8.336,-38.134) 19.4055  19.4055  
87     -2.07111 -29.77087   7.46534 -55.55831 -21.21187 -36.07008     (-5.394,-27.700) (-42.699,-2.071) (-8.352,-38.141) 19.3838  19.3838  
88     -2.07680 -29.78447   7.44950 -55.52701 -21.19034 -36.07165     (-5.373,-27.708) (-42.705,-2.077) (-8.368,-38.148) 19.3622  19.3622  
89     -2.08250 -29.79806   7.43367 -55.49571 -21.16881 -36.07323     (-5.351,-27.716) (-42.711,-2.083) (-8.384,-38.156) 19.3408  19.3408  
90     -2.08820 -29.81166   7.41783 -55.46441 -21.14728 -36.07481     (-5.330,-27.723) (-42.717,-2.088) (-8.400,-38.163) 19.3195  19.3195  
91     -2.09390 -29.82526   7.40200 -55.43311 -21.12575 -36.07638     (-5.308,-27.731) (-42.723,-2.094) (-8.416,-38.170) 19.2984  19.2984  
92     -2.09959 -29.83885   7.38617 -55.40181 -21.10422 -36.07796     (-5.287,-27.739) (-42.729,-2.100) (-8.431,-38.178) 19.2775  19.2775  
93     -2.10529 -29.85245   7.37033 -55.37051 -21.08268 -36.07954     (-5.265,-27.747) (-42.735,-2.105) (-8.447,-38.185) 19.2567  19.2567  
94     -2.11099 -29.86605   7.35450 -55.33921 -21.06115 -36.08111     (-5.244,-27.755) (-42.741,-2.111) (-8.463,-38.192) 19.2361  19.2361  
95     -2.11669 -29.87964   7.33867 -55.30791 -21.03962 -36.08269     (-5.222,-27.763) (-42.747,-2.117) (-8.479,-38.199) 19.2156  19.2156  
96     -2.12239 -29.89324   7.32283 -55.27661 -21.01809 -36.08427     (-5.200,-27.771) (-42.753,-2.122) (-8.495,-38.207) 19.1953  19.1953  
97     -2.12808 -29.90684   7.30700 -55.24531 -20.99656 -36.08584     (-5.179,-27.779) (-42.759,-2.128) (-8.511,-38.214) 19.1752  19.1752  
98     -2.13378 -29.92043   7.29117 -55.21401 -20.97503 -36.08742     (-5.157,-27.787) (-42.765,-2.134) (-8.526,-38.221) 19.1552  19.1552  
99     -2.13948 -29.93403   7.27533 -55.18271 -20.95350 -36.08900     (-5.136,-27.795) (-42.772,-2.139) (-8.542,-38.228) 19.1354  19.1354  
100     -2.14518 -29.94763   7.25950 -55.15141 -20.93197 -36.09058     (-5.114,-27.802) (-42.778,-2.145) (-8.558,-38.236) 19.1158  19.1158  
101     -2.15087 -29.96122   7.24367 -55.12010 -20.91043 -36.09215     (-5.093,-27.810) (-42.784,-2.151) (-8.574,-38.243) 19.0963  19.0963  
102     -2.15657 -29.97482   7.22783 -55.08880 -20.88890 -36.09373     (-5.071,-27.818) (-42.790,-2.157) (-8.590,-38.250) 19.077  19.077  
103     -2.16227 -29.98842   7.21200 -55.05750 -20.86737 -36.09531     (-5.050,-27.826) (-42.796,-2.162) (-8.606,-38.258) 19.0578  19.0578  
104     -2.16797 -30.00201   7.19617 -55.02620 -20.84584 -36.09688     (-5.028,-27.834) (-42.802,-2.168) (-8.621,-38.265) 19.0388  19.0388  
105     -2.17367 -30.01561   7.18033 -54.99490 -20.82431 -36.09846     (-5.007,-27.842) (-42.808,-2.174) (-8.637,-38.272) 19.02  19.02  
106     -2.17936 -30.02921   7.16450 -54.96360 -20.80278 -36.10004     (-4.985,-27.850) (-42.814,-2.179) (-8.653,-38.279) 19.0014  19.0014  
107     -2.18506 -30.04280   7.14867 -54.93230 -20.78125 -36.10161     (-4.964,-27.858) (-42.820,-2.185) (-8.669,-38.287) 18.9829  18.9829  
108     -2.19076 -30.05640   7.13283 -54.90100 -20.75972 -36.10319     (-4.942,-27.866) (-42.826,-2.191) (-8.685,-38.294) 18.9645  18.9645  
109     -2.19646 -30.07000   7.11700 -54.86970 -20.73818 -36.10477     (-4.921,-27.874) (-42.832,-2.196) (-8.701,-38.301) 18.9464  18.9464  
110     -2.20215 -30.08360   7.10117 -54.83840 -20.71665 -36.10635     (-4.899,-27.881) (-42.838,-2.202) (-8.716,-38.308) 18.9284  18.9284  
111     -2.20785 -30.09719   7.08533 -54.80710 -20.69512 -36.10792     (-4.877,-27.889) (-42.844,-2.208) (-8.732,-38.316) 18.9106  18.9106  
112     -2.21355 -30.11079   7.06950 -54.77580 -20.67359 -36.10950     (-4.856,-27.897) (-42.850,-2.214) (-8.748,-38.323) 18.8929  18.8929  
113     -2.21925 -30.12439   7.05366 -54.74450 -20.65206 -36.11108     (-4.834,-27.905) (-42.856,-2.219) (-8.764,-38.330) 18.8754  18.8754  
114     -2.22495 -30.13798   7.03783 -54.71320 -20.63053 -36.11265     (-4.813,-27.913) (-42.862,-2.225) (-8.780,-38.338) 18.8581  18.8581  
115     -2.23064 -30.15158   7.02200 -54.68190 -20.60900 -36.11423     (-4.791,-27.921) (-42.869,-2.231) (-8.796,-38.345) 18.841  18.841  
116     -2.23634 -30.16518   7.00616 -54.65060 -20.58747 -36.11581     (-4.770,-27.929) (-42.875,-2.236) (-8.811,-38.352) 18.824  18.824  
117     -2.24204 -30.17877   6.99033 -54.61930 -20.56594 -36.11738     (-4.748,-27.937) (-42.881,-2.242) (-8.827,-38.359) 18.8072  18.8072  
118     -2.24774 -30.19237   6.97450 -54.58800 -20.54440 -36.11896     (-4.727,-27.945) (-42.887,-2.248) (-8.843,-38.367) 18.7906  18.7906  
119     -2.25343 -30.20597   6.95866 -54.55670 -20.52287 -36.12054     (-4.705,-27.953) (-42.893,-2.253) (-8.859,-38.374) 18.7741  18.7741  
120     -2.25913 -30.21956   6.94283 -54.52540 -20.50134 -36.12212     (-4.684,-27.960) (-42.899,-2.259) (-8.875,-38.381) 18.7579  18.7579  
121     -2.26483 -30.23316   6.92700 -54.49410 -20.47981 -36.12369     (-4.662,-27.968) (-42.905,-2.265) (-8.891,-38.389) 18.7417  18.7417  
122     -2.27053 -30.24676   6.91116 -54.46280 -20.45828 -36.12527     (-4.641,-27.976) (-42.911,-2.271) (-8.906,-38.396) 18.7258  18.7258  
123     -2.27622 -30.26035   6.89533 -54.43150 -20.43675 -36.12685     (-4.619,-27.984) (-42.917,-2.276) (-8.922,-38.403) 18.7101  18.7101  
124     -2.28192 -30.27395   6.87950 -54.40020 -20.41522 -36.12842     (-4.598,-27.992) (-42.923,-2.282) (-8.938,-38.410) 18.6945  18.6945  
125     -2.28762 -30.28755   6.86366 -54.36890 -20.39369 -36.13000     (-4.576,-28.000) (-42.929,-2.288) (-8.954,-38.418) 18.6791  18.6791  
