PointDistanceFollower   May  5 2020   mode =  LINE3 
Fol_2020-05-05.13_43_53.10_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  57   CS6Dist 10   LMDist  20685
PointDistanceFollower  May  5 2020  mode = LINE3
Fol_2020-05-05.13_43_53.10_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
44    -28.75384 -21.30280 -34.23163   2.52563  -6.59527 -10.41001     (-31.279,-2.526) (-31.706,-4.070) (-18.777,-7.884)      20.9348  17.2438  18.0835  
45    -28.64671 -21.67765 -34.14167   2.66322  -6.40217 -10.71124     (-31.310,-2.663) (-31.478,-3.739) (-19.014,-8.048)      21.0531  17.6094  18.2496  
46    -28.53959 -22.05250 -34.05172   2.80081  -6.20908 -11.01246     (-31.340,-2.801) (-31.251,-3.408) (-19.252,-8.212)      21.1832  17.9245  18.4285  
47    -28.43246 -22.42735 -33.96176   2.93840  -6.01598 -11.31369     (-31.371,-2.938) (-31.023,-3.078) (-19.489,-8.375)      21.3248  18.1447  18.6199  
48    -28.32533 -22.80219 -33.87181   3.07599  -5.82289 -11.61491     (-31.401,-3.076) (-30.796,-2.747) (-19.726,-8.539)      21.4778  18.1973  18.8233  
49    -28.21820 -23.17704 -33.78186   3.21358  -5.62979 -11.91614     (-31.432,-3.214) (-30.568,-2.416) (-19.963,-8.703)      21.642  18.186  18.9857  
50    -28.11108 -23.55189 -33.69190   3.35117  -5.43670 -12.21736     (-31.462,-3.351) (-30.341,-2.086) (-20.201,-8.866)      21.817  18.1858  19.1206  
51    -28.00395 -23.92674 -33.60195   3.48876  -5.24360 -12.51859     (-31.493,-3.489) (-30.113,-1.755) (-20.438,-9.030)      21.9415  18.1965  19.2684  
52    -27.89682 -24.30158 -33.51199   3.62635  -5.05051 -12.81981     (-31.523,-3.626) (-29.886,-1.424) (-20.675,-9.193)      22.0718  18.2182  19.4286  
53    -27.78970 -24.67643 -33.42204   3.76394  -4.85742 -13.12103     (-31.554,-3.764) (-29.658,-1.093) (-20.912,-9.357)      22.2132  18.2509  19.6009  
54    -27.68257 -25.05128 -33.33208   3.90153  -4.66432 -13.42226     (-31.584,-3.902) (-29.431,-0.763) (-21.150,-9.521)      22.3656  18.2944  19.7851  
55    -27.57544 -25.42612 -33.24213   4.03912  -4.47123 -13.72348     (-31.615,-4.039) (-29.203,-0.432) (-21.387,-9.684)      22.5286  18.3487  19.9809  
56    -27.46832 -25.80097 -33.15217   4.17671  -4.27813 -14.02471     (-31.645,-4.177) (-28.975,-0.101) (-21.624,-9.848)      22.7021  18.4138  20.1878  
57    -27.36119 -26.17582 -33.06222   4.31430  -4.08504 -14.32593     (-21.632,-4.085) (-28.977,-0.229) (-31.446,-9.782)      22.739  18.0189  19.6713  
58    -27.25406 -26.55067 -32.97226   4.45190  -3.89194 -14.62716     (-21.539,-3.892) (-29.080,-0.560) (-31.146,-9.615)      22.7231  18.1969  19.8709  
59    -27.14694 -26.92551 -32.88231   4.58949  -3.69885 -14.92838     (-21.445,-3.699) (-29.183,-0.891) (-30.846,-9.448)      22.7198  18.3984  20.0827  
60    -27.03981 -27.30036 -32.79235   4.72708  -3.50575 -15.22961     (-21.352,-3.506) (-29.287,-1.221) (-30.546,-9.281)      22.7289  18.6226  20.3062  
61    -26.93268 -27.67521 -32.70240   4.86467  -3.31266 -15.53083     (-21.259,-3.313) (-29.390,-1.552) (-30.245,-9.114)      22.7505  18.8686  20.5412  
62    -26.82555 -28.05006 -32.61244   5.00226  -3.11956 -15.83205     (-21.165,-3.120) (-29.493,-1.883) (-29.945,-8.947)      22.7846  19.1356  20.7872  
63    -26.71843 -28.42490 -32.52249   5.13985  -2.92647 -16.13328     (-21.072,-2.926) (-29.596,-2.213) (-29.645,-8.780)      22.6773  19.4227  21.0438  
64    -26.61130 -28.79975 -32.43253   5.27744  -2.73338 -16.43450     (-20.978,-2.733) (-29.699,-2.544) (-29.345,-8.613)      22.5628  19.5342  21.3106  
65    -26.50417 -29.17460 -32.34258   5.41503  -2.54028 -16.73573     (-20.885,-2.540) (-29.802,-2.875) (-29.044,-8.446)      22.4603  19.6418  21.5874  
66    -26.39705 -29.54945 -32.25262   5.55262  -2.34719 -17.03695     (-20.791,-2.347) (-29.905,-3.205) (-28.744,-8.279)      22.3701  19.7722  21.8735  
67    -26.28992 -29.92429 -32.16267   5.69021  -2.15409 -17.33818     (-20.698,-2.154) (-30.009,-3.536) (-28.444,-8.112)      22.2922  19.925  22.1689  
68    -26.18279 -30.29914 -32.07271   5.82780  -1.96100 -17.63940     (-20.605,-1.961) (-30.112,-3.867) (-28.144,-7.945)      22.2268  20.0997  22.2268  
69    -26.07567 -30.67399 -31.98276   5.96539  -1.76790 -17.94063     (-20.511,-1.768) (-30.215,-4.197) (-27.844,-7.778)      22.1741  20.2956  22.1741  
70    -25.96854 -31.04883 -31.89281   6.10298  -1.57481 -18.24185     (-20.418,-1.575) (-30.318,-4.528) (-27.543,-7.611)      22.1341  20.5122  22.1341  
71    -25.86141 -31.42368 -31.80285   6.24057  -1.38171 -18.54307     (-20.324,-1.382) (-30.421,-4.859) (-27.243,-7.444)      22.1068  20.7487  22.1068  
72    -25.75429 -31.79853 -31.71290   6.37816  -1.18862 -18.84430     (-20.231,-1.189) (-30.524,-5.190) (-26.943,-7.277)      22.0924  21.0045  22.0924  
73    -25.64716 -32.17338 -31.62294   6.51575  -0.99552 -19.14552     (-20.137,-0.996) (-30.627,-5.520) (-26.643,-7.110)      22.0908  20.9146  22.0908  
74    -25.54003 -32.54822 -31.53299   6.65334  -0.80243 -19.44675     (-20.044,-0.802) (-30.731,-5.851) (-26.342,-6.942)      22.1021  20.7093  22.1021  
75    -25.43290 -32.92307 -31.44303   6.79093  -0.60933 -19.74797     (-19.951,-0.609) (-30.834,-6.182) (-26.042,-6.775)      22.1262  20.5157  22.1262  
76    -25.32578 -33.29792 -31.35308   6.92853  -0.41624 -20.04920     (-19.857,-0.416) (-30.937,-6.512) (-25.742,-6.608)      22.1632  20.3341  22.1632  
77    -25.21865 -33.67277 -31.26312   7.06612  -0.22315 -20.35042     (-19.764,-0.223) (-31.040,-6.843) (-25.442,-6.441)      22.056  20.165  22.2128  
78    -25.11152 -34.04761 -31.17317   7.20371  -0.03005 -20.65165     (-19.670,-0.030) (-31.143,-7.174) (-25.142,-6.274)      21.894  20.0085  22.154  
79    -25.00440 -34.42246 -31.08321   7.34130   0.16304 -20.95287     (-19.740,-0.163) (-24.678,-7.341) (-31.083,-5.944)      22.0053  18.9143  22.0053  
80    -24.89727 -34.79731 -30.99326   7.47889   0.35614 -21.25409     (-19.840,-0.356) (-24.185,-7.479) (-30.993,-5.584)      22.1832  18.4686  22.1832  
81    -24.79014 -35.17216 -30.90330   7.61648   0.54923 -21.55532     (-19.939,-0.549) (-23.692,-7.616) (-30.903,-5.224)      22.3797  18.0481  22.3797  
82    -24.68302 -35.54700 -30.81335   7.75407   0.74233 -21.85654     (-20.039,-0.742) (-23.198,-7.754) (-30.813,-4.864)      22.5943  17.6545  22.5943  
83    -24.57589 -35.92185 -30.72339   7.89166   0.93542 -22.15777     (-20.139,-0.935) (-22.705,-7.892) (-30.723,-4.504)      22.8264  17.2898  22.8264  
84    -24.46876 -36.29670 -30.63344   8.02925   1.12852 -22.45899     (-20.238,-1.129) (-22.212,-8.029) (-30.633,-4.143)      23.0757  16.956  23.0757  
85    -24.36163 -36.67154 -30.54348   8.16684   1.32161 -22.76022     (-20.338,-1.322) (-21.718,-8.167) (-30.543,-3.783)      23.3414  16.655  23.3414  
86    -24.25451 -37.04639 -30.45353   8.30443   1.51471 -23.06144     (-20.438,-1.515) (-21.225,-8.304) (-30.454,-3.423)      23.6231  16.3886  23.6231  
87    -24.14738 -37.42124 -30.36357   8.44202   1.70780 -23.36267     (-20.537,-1.708) (-20.732,-8.442) (-30.364,-3.063)      23.9202  16.1587  23.7566  
88    -24.04025 -37.79609 -30.27362   8.57961   1.90089 -23.66389     (-20.637,-1.901) (-20.238,-8.580) (-30.274,-2.703)      24.2321  15.9669  23.2628  
89    -23.93313 -38.17093 -30.18366   8.71720   2.09399 -23.96511     (-20.737,-2.094) (-19.745,-8.717) (-30.184,-2.343)      23.936  15.8146  22.7779  
90    -23.82600 -38.54578 -30.09371   8.85479   2.28708 -24.26634     (-20.836,-2.287) (-19.252,-8.855) (-30.094,-1.983)      23.4874  15.5112  22.3025  
91    -23.71887 -38.92063 -30.00376   8.99238   2.48018 -24.56756     (-20.936,-2.480) (-18.759,-8.992) (-30.004,-1.622)      23.0494  15.0836  21.8373  
92    -23.61175 -39.29548 -29.91380   9.12997   2.67327 -24.86879     (-21.036,-2.673) (-18.265,-9.130) (-29.914,-1.262)      22.6227  14.6882  21.3829  
93    -23.50462 -39.67032 -29.82385   9.26756   2.86637 -25.17001     (-21.135,-2.866) (-17.772,-9.268) (-29.824,-0.902)      22.208  14.3279  20.9399  
94    -23.39749 -40.04517 -29.73389   9.40516   3.05946 -25.47124     (-21.235,-3.059) (-17.279,-9.405) (-29.734,-0.542)      21.8059  14.0056  20.5093  
95    -23.29037 -40.42002 -29.64394   9.54275   3.25256 -25.77246     (-21.335,-3.253) (-16.785,-9.543) (-29.644,-0.182)      21.4172  13.724  20.0916  
96    -23.18324 -40.79487 -29.55398   9.68034   3.44565 -26.07369     (-16.114,-3.267) (-21.256,-9.502) (-29.732,-0.178)      20.9034  15.8981  20.9034     glitch
97    -23.07611 -41.16971 -29.46403   9.81793   3.63875 -26.37491     (-15.260,-3.100) (-20.995,-9.279) (-30.002,-0.538)      20.2754  15.5065  20.2754  
98    -22.96898 -41.54456 -29.37407   9.95552   3.83184 -26.67613     (-14.407,-2.933) (-20.735,-9.057) (-30.273,-0.899)      19.682  15.1653  19.682  
99    -22.86186 -41.91941 -29.28412  10.09311   4.02494 -26.97736     (-13.553,-2.766) (-20.474,-8.834) (-30.543,-1.259)      19.1266  14.878  19.1266  
