PointDistanceFollower  May 27 2018  mode = Single Point
POINT_2018-05-27.16_57_52.0_4.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
47    -20.53276 -26.26027 -23.48680  -1.47942 -20.93828  -1.11982     (-20.533,-1.479) (-26.260,-20.938) (-23.487,-1.120)      35.0904  42.8089  49.8747  36.1488  
48    -21.01673 -25.78148 -23.12483  -1.49319 -21.25553  -1.11464     (-21.017,-1.493) (-25.781,-21.256) (-23.125,-1.115)      35.9176  43.7881  51.0316  36.9726  
49    -21.50070 -25.30269 -22.76286  -1.50696 -21.57278  -1.10946     (-21.501,-1.507) (-25.303,-21.573) (-22.763,-1.109)      36.7451  44.7684  52.1374  37.7966  
50    -21.98466 -24.82390 -22.40090  -1.52073 -21.89002  -1.10428     (-21.985,-1.521) (-24.824,-21.890) (-22.401,-1.104)      37.5729  45.7497  53.2748  38.5191  
51    -22.46863 -24.34511 -22.03893  -1.53450 -22.20727  -1.09910     (-22.469,-1.534) (-24.345,-22.207) (-22.039,-1.099)      37.9374  46.055  53.7359  38.7439  
52    -22.95260 -23.86633 -21.67696  -1.54827 -22.52452  -1.09392     (-22.953,-1.548) (-23.866,-22.525) (-21.677,-1.094)      37.9603  45.4539  53.7994  38.7666  
53    -23.43657 -23.38754 -21.31499  -1.56204 -22.84176  -1.08874     (-23.437,-1.562) (-23.388,-22.842) (-21.315,-1.089)      37.9887  44.8698  53.7938  38.0113  
54    -23.92054 -22.90875 -20.95302  -1.57581 -23.15901  -1.08356     (-23.921,-1.576) (-22.909,-23.159) (-20.953,-1.084)      37.2034  44.3077  52.6707  37.2177  
55    -24.40450 -22.42996 -20.59105  -1.58958 -23.47626  -1.07838     (-24.405,-1.590) (-22.430,-23.476) (-20.591,-1.078)      36.4203  43.7685  51.55  36.4259  
56    -24.88847 -21.95117 -20.22908  -1.60335 -23.79351  -1.07320     (-24.888,-1.603) (-21.951,-23.794) (-20.229,-1.073)      35.6361  43.253  50.4321  35.6361  
57    -25.37244 -21.47238 -19.86711  -1.61712 -24.11075  -1.06803     (-25.372,-1.617) (-21.472,-24.111) (-19.867,-1.068)      34.8482  42.7552  49.3171  34.8482  
58    -25.85641 -20.99359 -19.50514  -1.63089 -24.42800  -1.06285     (-25.856,-1.631) (-20.994,-24.428) (-19.505,-1.063)      34.0626  42.1961  48.2052  34.0626  
59    -26.34038 -20.51481 -19.14317  -1.64466 -24.74525  -1.05767     (-26.340,-1.645) (-20.515,-24.745) (-19.143,-1.058)      33.2793  41.6401  47.0966  33.2793  
60    -26.82435 -20.03602 -18.78120  -1.65843 -25.06250  -1.05249     (-26.824,-1.658) (-20.036,-25.062) (-18.781,-1.052)      32.4985  41.1199  45.9916  32.4985  
61    -27.30831 -19.55723 -18.41923  -1.67220 -25.37974  -1.04731     (-27.308,-1.672) (-19.557,-25.380) (-18.419,-1.047)      31.6873  40.6369  44.8434  31.6873  
62    -27.79228 -19.07844 -18.05726  -1.68597 -25.69699  -1.04213     (-27.792,-1.686) (-19.078,-25.697) (-18.057,-1.042)      30.8534  40.1925  43.6633  30.8534  
63    -28.27625 -18.59965 -17.69529  -1.69974 -26.01424  -1.03695     (-28.276,-1.700) (-18.600,-26.014) (-17.695,-1.037)      30.0195  39.7879  42.4832  30.0195  
64    -28.76022 -18.12086 -17.33332  -1.71351 -26.33148  -1.03177     (-28.760,-1.714) (-18.121,-26.331) (-17.333,-1.032)      29.1856  39.4244  41.3031  29.1856  
65    -29.24419 -17.64207 -16.97135  -1.72728 -26.64873  -1.02659     (-29.244,-1.727) (-17.642,-26.649) (-16.971,-1.027)      28.3518  39.103  40.1231  28.3518  
66    -29.72815 -17.16329 -16.60938  -1.74105 -26.96598  -1.02141     (-29.728,-1.741) (-17.163,-26.966) (-16.609,-1.021)      27.5179  38.8249  38.943  27.5179  
67    -30.21212 -16.68450 -16.24741  -1.75482 -27.28323  -1.01623     (-30.212,-1.755) (-16.684,-27.283) (-16.247,-1.016)      26.684  38.5909  37.7629  26.684  
68    -30.69609 -16.20571 -15.88545  -1.76859 -27.60047  -1.01105     (-30.696,-1.769) (-16.206,-27.600) (-15.885,-1.011)      25.8501  38.4018  36.5828  25.8501  
