PointDistanceFollower   Apr 16 2020   mode =  LINE3 
Fol_.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  39   CS6Dist 7   LMDist  33179
PointDistanceFollower  Apr 16 2020  mode = LINE3
Fol_.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
70    -51.89349 -52.43613 -33.69285  -3.62229  -1.21039  -6.55902     (-51.893,-3.622) (-52.436,-1.210) (-33.693,-6.559)      44.5414  45.0559  45.0559  
71    -52.07232 -52.57319 -34.27415  -3.65309  -1.06382  -6.68561     (-52.072,-3.653) (-52.573,-1.064) (-34.274,-6.686)      45.0788  45.3853  45.6105  
72    -52.25116 -52.71025 -34.85545  -3.68389  -0.91725  -6.81219     (-52.251,-3.684) (-52.710,-0.917) (-34.855,-6.812)      45.6191  45.6532  46.1677  
73    -52.42999 -52.84732 -35.43675  -3.71468  -0.77067  -6.93878     (-52.430,-3.715) (-52.847,-0.771) (-35.437,-6.939)      46.1624  45.9263  46.7274  
74    -52.60882 -52.98438 -36.01805  -3.74548  -0.62410  -7.06537     (-52.609,-3.745) (-52.984,-0.624) (-36.018,-7.065)      46.7086  46.2045  47.2222  
75    -52.78766 -53.12144 -36.59936  -3.77628  -0.47753  -7.19195     (-52.788,-3.776) (-53.121,-0.478) (-36.599,-7.192)      47.2574  46.4875  47.6506  
76    -52.96649 -53.25851 -37.18066  -3.80707  -0.33096  -7.31854     (-52.966,-3.807) (-53.259,-0.331) (-37.181,-7.319)      47.8089  46.7753  48.0815  
77    -53.14532 -53.39557 -37.76196  -3.83787  -0.18438  -7.44512     (-53.145,-3.838) (-53.396,-0.184) (-37.762,-7.445)      48.3629  47.0678  48.5148  
78    -53.32416 -53.53264 -38.34326  -3.86866  -0.03781  -7.57171     (-53.324,-3.869) (-53.533,-0.038) (-38.343,-7.572)      48.9194  47.3647  48.9506  
79    -53.50299 -53.66970 -38.92456  -3.89946   0.10876  -7.69830     (-38.816,-3.791) (-53.778,-0.109) (-53.394,-7.590)      49.3887  48.8459  49.3887  
80    -53.68183 -53.80676 -39.50586  -3.93026   0.25533  -7.82488     (-39.251,-3.675) (-54.062,-0.255) (-53.426,-7.570)      49.8291  49.4398  49.8291  
81    -53.86066 -53.94383 -40.08717  -3.96105   0.40190  -7.95147     (-39.685,-3.559) (-54.346,-0.402) (-53.459,-7.550)      50.2717  50.0354  50.2717  
82    -54.03949 -54.08089 -40.66847  -3.99185   0.54848  -8.07806     (-40.120,-3.443) (-54.629,-0.548) (-53.491,-7.530)      50.7165  50.6327  50.7165  
83    -54.21833 -54.21795 -41.24977  -4.02265   0.69505  -8.20464     (-40.555,-3.328) (-54.913,-0.695) (-53.523,-7.510)      51.1634  51.1634  51.1634  
84    -54.39716 -54.35502 -41.83107  -4.05344   0.84162  -8.33123     (-40.989,-3.212) (-55.197,-0.842) (-53.556,-7.490)      51.6123  51.6123  51.6123  
85    -54.57599 -54.49208 -42.41237  -4.08424   0.98819  -8.45782     (-41.424,-3.096) (-55.480,-0.988) (-53.588,-7.470)      52.0633  52.0633  52.0633  
86    -54.75483 -54.62914 -42.99368  -4.11503   1.13476  -8.58440     (-41.859,-2.980) (-55.764,-1.135) (-53.620,-7.450)      52.5162  52.5162  52.5162  
87    -54.93366 -54.76621 -43.57498  -4.14583   1.28134  -8.71099     (-42.294,-2.864) (-56.048,-1.281) (-53.652,-7.430)      52.971  52.971  52.971  
88    -55.11250 -54.90327 -44.15628  -4.17663   1.42791  -8.83758     (-42.728,-2.749) (-56.331,-1.428) (-53.685,-7.410)      53.4276  53.4276  53.4276  
