PointDistanceFollower   Jul 16 2018   mode =  Single Point 
Fol_2018-07-17.10_22_03.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist NCDist D7Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   310   NCDist   1488   D7Dist   699   CS6Dist  9
PointDistanceFollower  Jul 16 2018  mode = Single Point
Fol_2018-07-17.10_22_03.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
43    -18.13340 -27.60793 -26.81825  -1.88930 -21.01498  -0.99656     (-18.133,-1.889) (-27.608,-21.015) (-26.818,-0.997)      28.8815  36.861  41.3519  29.2857  
44    -18.60550 -27.12246 -26.48420  -1.89356 -21.30526  -1.00993     (-18.605,-1.894) (-27.122,-21.305) (-26.484,-1.010)      29.6859  37.7666  42.4121  30.0903  
45    -19.07760 -26.63700 -26.15015  -1.89782 -21.59553  -1.02330     (-19.078,-1.898) (-26.637,-21.596) (-26.150,-1.023)      30.4905  38.6768  43.4811  30.8952  
46    -19.54970 -26.15153 -25.81609  -1.90208 -21.88581  -1.03666     (-19.550,-1.902) (-26.152,-21.886) (-25.816,-1.037)      31.2953  39.5913  44.5587  31.7003  
47    -20.02180 -25.66606 -25.48204  -1.90634 -22.17609  -1.05003     (-20.022,-1.906) (-25.666,-22.176) (-25.482,-1.050)      32.1004  40.5097  45.6443  32.5056  
48    -20.49390 -25.18060 -25.14799  -1.91060 -22.46636  -1.06340     (-20.494,-1.911) (-25.181,-22.466) (-25.148,-1.063)      32.9056  41.4318  46.7377  33.311  
49    -20.96600 -24.69513 -24.81394  -1.91486 -22.75664  -1.07677     (-20.966,-1.915) (-24.695,-22.757) (-24.814,-1.077)      33.711  42.3573  47.8385  34.1167  
50    -21.43809 -24.20966 -24.47988  -1.91913 -23.04692  -1.09013     (-21.438,-1.919) (-24.210,-23.047) (-24.480,-1.090)      34.5166  43.2861  48.9465  34.9225  
51    -21.91019 -23.72419 -24.14583  -1.92339 -23.33720  -1.10350     (-21.910,-1.923) (-23.724,-23.337) (-24.146,-1.104)      35.3224  44.2179  50.0614  35.7285  
52    -22.38229 -23.23873 -23.81178  -1.92765 -23.62747  -1.11687     (-22.382,-1.928) (-23.239,-23.627) (-23.812,-1.117)      35.5141  44.9235  50.4591  35.6316  
