Fol_2018-05-05.12_22_22.1_6.txt     Output is probe cell, reduced cell, NCDist distance between
50    -2332.10855 -259.72301 -2338.19799 -1851.68315 -24.78209 -1501.25588     (-2332.109,-1851.683) (-259.723,-24.782) (-2338.198,-1501.256) 1299.39
51    -2301.23701 -284.50511 -2319.50535 -1826.90106 -74.34628 -1476.47379     (-2301.237,-1826.901) (-284.505,-74.346) (-2319.505,-1476.474) 1265.63
52    -2270.36547 -309.28720 -2300.81270 -1802.11897 -123.91046 -1451.69170     (-2270.365,-1802.119) (-309.287,-123.910) (-2300.813,-1451.692) 1235.48
53    -2239.49393 -334.06929 -2282.12006 -1777.33688 -173.47464 -1426.90961     (-2239.494,-1777.337) (-334.069,-173.475) (-2282.120,-1426.910) 1209.23
54    -2208.62239 -358.85138 -2263.42741 -1752.55479 -223.03883 -1402.12752     (-2208.622,-1752.555) (-358.851,-223.039) (-2263.427,-1402.128) 1187.12
55    -2177.75086 -383.63347 -2244.73477 -1727.77270 -272.60301 -1377.34542     (-2177.751,-1727.773) (-383.633,-272.603) (-2244.735,-1377.345) 1169.38
56    -2146.87932 -408.41556 -2226.04212 -1702.99060 -322.16719 -1352.56333     (-2146.879,-1702.991) (-408.416,-322.167) (-2226.042,-1352.563) 1156.23
57    -2116.00778 -433.19766 -2207.34948 -1678.20851 -371.73138 -1327.78124     (-2116.008,-1678.209) (-433.198,-371.731) (-2207.349,-1327.781) 1147.82
58    -2085.13624 -457.97975 -2188.65683 -1653.42642 -421.29556 -1302.99915     (-2085.136,-1653.426) (-457.980,-421.296) (-2188.657,-1302.999) 1133.4
59    -2054.26470 -482.76184 -2169.96419 -1628.64433 -470.85975 -1278.21706     (-2054.265,-1628.644) (-482.762,-470.860) (-2169.964,-1278.217) 1109.38
60    -2023.39316 -507.54393 -2151.27154 -1603.86224 -520.42393 -1253.43497     (-2023.393,-1603.862) (-507.544,-520.424) (-2151.272,-1253.435) 1089.99
61    -1992.52163 -532.32602 -2132.57890 -1579.08014 -569.98811 -1228.65287     (-1992.522,-1579.080) (-532.326,-569.988) (-2132.579,-1228.653) 1075.46
62    -1961.65009 -557.10812 -2113.88625 -1554.29805 -619.55230 -1203.87078     (-1961.650,-1554.298) (-557.108,-619.552) (-2113.886,-1203.871) 1066.01
63    -1930.77855 -581.89021 -2095.19361 -1529.51596 -669.11648 -1179.08869     (-1930.779,-1529.516) (-581.890,-669.116) (-2095.194,-1179.089) 1061.76
64    -1899.90701 -606.67230 -2076.50096 -1504.73387 -718.68066 -1154.30660     (-1899.907,-1504.734) (-606.672,-718.681) (-2076.501,-1154.307) 1062.77
65    -1869.03547 -631.45439 -2057.80832 -1479.95178 -768.24485 -1129.52451     (-1869.035,-1479.952) (-631.454,-768.245) (-2057.808,-1129.525) 1069.04
66    -1838.16393 -656.23648 -2039.11567 -1455.16968 -817.80903 -1104.74241     (-1838.164,-1455.170) (-656.236,-817.809) (-2039.116,-1104.742) 1080.46
67    -1807.29239 -681.01858 -2020.42302 -1430.38759 -867.37322 -1079.96032     (-1807.292,-1430.388) (-681.019,-867.373) (-2020.423,-1079.960) 1096.89
68    -1776.42086 -705.80067 -2001.73038 -1405.60550 -916.93740 -1055.17823     (-1776.421,-1405.606) (-705.801,-916.937) (-2001.730,-1055.178) 1118.09
69    -1745.54932 -730.58276 -1983.03773 -1380.82341 -966.50158 -1030.39614     (-1745.549,-1380.823) (-730.583,-966.502) (-1983.038,-1030.396) 1138.76
70    -1714.67778 -755.36485 -1964.34509 -1356.04132 -1016.06577 -1005.61405     (-1714.678,-1356.041) (-755.365,-1016.066) (-1964.345,-1005.614) 1110.27
71    -1683.80624 -780.14694 -1945.65244 -1331.25922 -1065.62995 -980.83195     (-1683.806,-1331.259) (-780.147,-1065.630) (-1945.652,-980.832) 1086.2
72    -1652.93470 -804.92903 -1926.95980 -1306.47713 -1115.19413 -956.04986     (-1652.935,-1306.477) (-804.929,-1115.194) (-1926.960,-956.050) 1066.85
73    -1622.06316 -829.71113 -1908.26715 -1281.69504 -1164.75832 -931.26777     (-1622.063,-1281.695) (-829.711,-1164.758) (-1908.267,-931.268) 1052.47
74    -1591.19163 -854.49322 -1889.57451 -1256.91295 -1214.32250 -906.48568     (-1591.192,-1256.913) (-854.493,-1214.323) (-1889.575,-906.486) 1043.28
75    -1560.32009 -879.27531 -1870.88186 -1232.13086 -1263.88669 -881.70359     (-1560.320,-1232.131) (-879.275,-1263.887) (-1870.882,-881.704) 1039.42
76    -1529.44855 -904.05740 -1852.18922 -1207.34877 -1313.45087 -856.92150     (-1529.449,-1207.349) (-904.057,-1313.451) (-1852.189,-856.921) 1040.93
77    -1498.57701 -928.83949 -1833.49657 -1182.56667 -1363.01505 -832.13940     (-1498.577,-1182.567) (-928.839,-1363.015) (-1833.497,-832.139) 1047.8
78    -1467.70547 -953.62159 -1814.80393 -1157.78458 -1412.57924 -807.35731     (-1467.705,-1157.785) (-953.622,-1412.579) (-1814.804,-807.357) 1059.92
79    -1436.83393 -978.40368 -1796.11128 -1133.00249 -1462.14342 -782.57522     (-1436.834,-1133.002) (-978.404,-1462.143) (-1796.111,-782.575) 1077.12
80    -1405.96239 -1003.18577 -1777.41864 -1108.22040 -1511.70761 -757.79313     (-1405.962,-1108.220) (-1003.186,-1511.708) (-1777.419,-757.793) 1099.16
81    -1375.09086 -1027.96786 -1758.72599 -1083.43831 -1561.27179 -733.01104     (-1375.091,-1083.438) (-1027.968,-1561.272) (-1758.726,-733.011) 1125.75
82    -1344.21932 -1052.74995 -1740.03335 -1058.65621 -1610.83597 -708.22894     (-1344.219,-1058.656) (-1052.750,-1610.836) (-1740.033,-708.229) 1112.31
83    -1313.34778 -1077.53205 -1721.34070 -1033.87412 -1660.40016 -683.44685     (-1313.348,-1033.874) (-1077.532,-1660.400) (-1721.341,-683.447) 1060.77
84    -1282.47624 -1102.31414 -1702.64805 -1009.09203 -1709.96434 -658.66476     (-1282.476,-1009.092) (-1102.314,-1709.964) (-1702.648,-658.665) 1012.16
85    -1251.60470 -1127.09623 -1683.95541 -984.30994 -1759.52852 -633.88267     (-1251.605,-984.310) (-1127.096,-1759.529) (-1683.955,-633.883) 966.894
86    -1220.73316 -1151.87832 -1665.26276 -959.52785 -1809.09271 -609.10058     (-1220.733,-959.528) (-1151.878,-1809.093) (-1665.263,-609.101) 925.477
87    -1189.86162 -1176.66041 -1646.57012 -934.74575 -1858.65689 -584.31848     (-1189.862,-934.746) (-1176.660,-1858.657) (-1646.570,-584.318) 888.446
88    -1158.99009 -1201.44250 -1627.87747 -909.96366 -1908.22108 -559.53639     (-1158.990,-909.964) (-1201.443,-1908.221) (-1627.877,-559.536) 823.277
89    -1128.11855 -1226.22460 -1609.18483 -885.18157 -1957.78526 -534.75430     (-1128.119,-885.182) (-1226.225,-1957.785) (-1609.185,-534.754) 748.434
90    -1097.24701 -1251.00669 -1590.49218 -860.39948 -2007.34944 -509.97221     (-1097.247,-860.399) (-1251.007,-2007.349) (-1590.492,-509.972) 673.59
91    -1066.37547 -1275.78878 -1571.79954 -835.61739 -2056.91363 -485.19012     (-1066.375,-835.617) (-1275.789,-2056.914) (-1571.800,-485.190) 598.747
92    -1035.50393 -1300.57087 -1553.10689 -810.83530 -2106.47781 -460.40802     (-1035.504,-810.835) (-1300.571,-2106.478) (-1553.107,-460.408) 523.904
93    -1004.63239 -1325.35296 -1534.41425 -786.05320 -2156.04199 -435.62593     (-1004.632,-786.053) (-1325.353,-2156.042) (-1534.414,-435.626) 449.06
94    -973.76086 -1350.13506 -1515.72160 -761.27111 -2205.60618 -410.84384     (-973.761,-761.271) (-1350.135,-2205.606) (-1515.722,-410.844) 374.217
95    -942.88932 -1374.91715 -1497.02896 -736.48902 -2255.17036 -386.06175     (-942.889,-736.489) (-1374.917,-2255.170) (-1497.029,-386.062) 299.374
96    -912.01778 -1399.69924 -1478.33631 -711.70693 -2304.73455 -361.27966     (-912.018,-711.707) (-1399.699,-2304.735) (-1478.336,-361.280) 224.53
97    -881.14624 -1424.48133 -1459.64367 -686.92484 -2354.29873 -336.49757     (-881.146,-686.925) (-1424.481,-2354.299) (-1459.644,-336.498) 149.687
98    -850.27470 -1449.26342 -1440.95102 -662.14274 -2403.86291 -311.71547     (-850.275,-662.143) (-1449.263,-2403.863) (-1440.951,-311.715) 74.8434
99    -819.40316 -1474.04552 -1422.25838 -637.36065 -2453.42710 -286.93338     (-819.403,-637.361) (-1474.046,-2453.427) (-1422.258,-286.933) 0
