PointDistanceFollower   Mar 23 2020   mode =  LINE3 
Fol_2020-03-23.17_12_38.31_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  58   CS6Dist 2   LMDist  1875
PointDistanceFollower  Mar 23 2020  mode = LINE3
Fol_2020-03-23.17_12_38.31_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
73    -18.58258 -66.24318 -20.76723  -6.49374 -28.26979 -22.52052     (-18.583,-6.494) (-66.243,-28.270) (-20.767,-22.521)      42.3377  43.0588  43.0588  
74    -18.25176 -66.52258 -20.72735  -6.53345 -29.02213 -22.11728     (-18.252,-6.533) (-66.523,-29.022) (-20.727,-22.117)      42.393  43.597  43.597  
75    -17.92093 -66.80198 -20.68747  -6.57317 -29.77447 -21.71404     (-17.921,-6.573) (-66.802,-29.774) (-20.687,-21.714)      42.4698  44.1495  44.1495  
76    -17.59010 -67.08138 -20.64759  -6.61288 -30.52681 -21.31081     (-17.590,-6.613) (-67.081,-30.527) (-20.648,-21.311)      42.5681  44.7157  44.7157  
77    -17.25928 -67.36078 -20.60771  -6.65259 -31.27915 -20.90757     (-17.259,-6.653) (-67.361,-31.279) (-20.608,-20.908)      42.6877  45.2951  45.2951  
78    -16.92845 -67.64018 -20.56783  -6.69231 -32.03149 -20.50433     (-16.928,-6.692) (-67.640,-32.031) (-20.568,-20.504)      42.8284  45.8873  45.8873  
79    -16.59763 -67.91958 -20.52795  -6.73202 -32.78383 -20.10109     (-16.598,-6.732) (-67.920,-32.784) (-20.528,-20.101)      42.99  46.4917  46.4917  
80    -16.26680 -68.19898 -20.48806  -6.77173 -33.53616 -19.69785     (-16.267,-6.772) (-68.199,-33.536) (-20.488,-19.698)      43.1724  47.1078  47.1078  
81    -15.93598 -68.47838 -20.44818  -6.81145 -34.28850 -19.29461     (-15.936,-6.811) (-68.478,-34.289) (-20.448,-19.295)      43.3752  47.7353  47.7353  
82    -15.60515 -68.75778 -20.40830  -6.85116 -35.04084 -18.89137     (-15.605,-6.851) (-68.758,-35.041) (-20.408,-18.891)      43.5981  48.112  48.329  
83    -15.27433 -69.03718 -20.36842  -6.89087 -35.79318 -18.48814     (-15.274,-6.891) (-69.037,-35.793) (-20.368,-18.488)      43.8409  48.3569  48.8396  
84    -14.94350 -69.31658 -20.32854  -6.93059 -36.54552 -18.08490     (-14.943,-6.931) (-69.317,-36.546) (-20.329,-18.085)      44.1031  48.6219  49.3636  
85    -14.61267 -69.59598 -20.28866  -6.97030 -37.29786 -17.68166     (-14.613,-6.970) (-69.596,-37.298) (-20.289,-17.682)      44.3846  48.9066  49.9005  
86    -14.28185 -69.87538 -20.24878  -7.01001 -38.05020 -17.27842     (-14.282,-7.010) (-69.875,-38.050) (-20.249,-17.278)      44.6848  49.2107  50.4499  
87    -13.95102 -70.15478 -20.20890  -7.04973 -38.80254 -16.87518     (-13.951,-7.050) (-70.155,-38.803) (-20.209,-16.875)      45.0035  49.5154  51.0114  
88    -13.62020 -70.43418 -20.16902  -7.08944 -39.55488 -16.47194     (-13.620,-7.089) (-70.434,-39.555) (-20.169,-16.472)      45.3402  49.8101  51.5846  
89    -13.28937 -70.71358 -20.12914  -7.12915 -40.30722 -16.06870     (-13.289,-7.129) (-70.714,-40.307) (-20.129,-16.069)      45.6946  50.1237  52.1692  
90    -12.95855 -70.99298 -20.08925  -7.16887 -41.05956 -15.66547     (-12.959,-7.169) (-70.993,-41.060) (-20.089,-15.665)      46.0662  50.4557  52.7647  
91    -12.62772 -71.27238 -20.04937  -7.20858 -41.81190 -15.26223     (-12.628,-7.209) (-71.272,-41.812) (-20.049,-15.262)      46.4546  50.8057  53.3707  
92    -12.29689 -71.55178 -20.00949  -7.24829 -42.56423 -14.85899     (-12.297,-7.248) (-71.552,-42.564) (-20.009,-14.859)      46.8594  51.1733  53.987  
93    -11.96607 -71.83118 -19.96961  -7.28801 -43.31657 -14.45575     (-11.966,-7.288) (-71.831,-43.317) (-19.970,-14.456)      47.2802  51.558  54.6132  
94    -11.63524 -72.11058 -19.92973  -7.32772 -44.06891 -14.05251     (-11.635,-7.328) (-72.111,-44.069) (-19.930,-14.053)      47.7165  51.9594  55.249  
95    -11.30442 -72.38998 -19.88985  -7.36743 -44.82125 -13.64927     (-11.304,-7.367) (-72.390,-44.821) (-19.890,-13.649)      48.168  52.3772  55.8939  
96    -10.97359 -72.66938 -19.84997  -7.40715 -45.57359 -13.24603     (-10.974,-7.407) (-72.669,-45.574) (-19.850,-13.246)      48.6342  52.8108  56.5477  
97    -10.64277 -72.94878 -19.81009  -7.44686 -46.32593 -12.84280     (-10.643,-7.447) (-72.949,-46.326) (-19.810,-12.843)      49.1147  53.2598  57.2102  
98    -10.31194 -73.22818 -19.77021  -7.48657 -47.07827 -12.43956     (-10.312,-7.487) (-73.228,-47.078) (-19.770,-12.440)      49.6091  53.7239  57.8809  
99     -9.98112 -73.50758 -19.73033  -7.52629 -47.83061 -12.03632     (-9.981,-7.526) (-73.508,-47.831) (-19.730,-12.036)      50.1169  54.2024  58.5597  
