PointDistanceFollower   Apr 16 2020   mode =  LINE3 
Fol_.1_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  65   CS6Dist 6   LMDist  104243
PointDistanceFollower  Apr 16 2020  mode = LINE3
Fol_.1_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
53    -13.69490  -1.99957 -32.34038  -5.03982  -0.09470 -18.53598     (-13.695,-5.040) (-2.000,-0.095) (-32.340,-18.536)      23.8617  20.7594  22.8092  
54    -13.12731  -2.05643 -32.57296  -4.92803  -0.47032 -18.39540     (-13.127,-4.928) (-2.056,-0.470) (-32.573,-18.395)      23.9263  21.4961  23.4089  
55    -12.55971  -2.11329 -32.80555  -4.81625  -0.84595 -18.25482     (-12.560,-4.816) (-2.113,-0.846) (-32.806,-18.255)      24.0138  22.2458  24.0128  
56    -11.99212  -2.17016 -33.03814  -4.70446  -1.22157 -18.11424     (-11.992,-4.704) (-2.170,-1.222) (-33.038,-18.114)      24.1238  22.8061  24.6204  
57    -11.42453  -2.22702 -33.27072  -4.59268  -1.59720 -17.97366     (-11.425,-4.593) (-2.227,-1.597) (-33.271,-17.974)      24.2562  23.2612  25.2315  
58    -10.85693  -2.28388 -33.50331  -4.48089  -1.97282 -17.83308     (-10.857,-4.481) (-2.284,-1.973) (-33.503,-17.833)      24.4105  23.735  25.3504  
59    -10.28934  -2.34075 -33.73589  -4.36911  -2.34845 -17.69249     (-10.289,-4.369) (-2.341,-2.348) (-33.736,-17.692)      24.5863  24.2272  25.4187  
60     -9.72175  -2.39761 -33.96848  -4.25732  -2.72407 -17.55191     (-9.722,-4.257) (-2.398,-2.724) (-33.968,-17.552)      24.7136  24.351  25.5085  
61     -9.15415  -2.45447 -34.20107  -4.14554  -3.09970 -17.41133     (-9.154,-4.146) (-2.454,-3.100) (-34.201,-17.411)      24.7463  24.4561  25.6196  
62     -8.58656  -2.51133 -34.43365  -4.03375  -3.47532 -17.27075     (-8.587,-4.034) (-2.511,-3.475) (-34.434,-17.271)      24.8012  24.5859  25.7517  
63     -8.01897  -2.56820 -34.66624  -3.92197  -3.85095 -17.13017     (-8.019,-3.922) (-2.568,-3.851) (-34.666,-17.130)      24.8783  24.7404  25.9044  
64     -7.45137  -2.62506 -34.89882  -3.81018  -4.22657 -16.98959     (-7.451,-3.810) (-2.625,-4.227) (-34.899,-16.990)      24.9773  24.818  26.0775  
65     -6.88378  -2.68192 -35.13141  -3.69840  -4.60220 -16.84900     (-6.884,-3.698) (-2.682,-4.602) (-35.131,-16.849)      25.0979  24.6145  26.2705  
66     -6.31619  -2.73879 -35.36400  -3.58661  -4.97782 -16.70842     (-6.316,-3.587) (-2.739,-4.978) (-35.364,-16.708)      25.2399  24.5754  26.4829  
67     -5.74859  -2.79565 -35.59658  -3.47483  -5.35345 -16.56784     (-5.749,-3.475) (-2.796,-5.353) (-35.597,-16.568)      25.4029  24.7517  26.6845  
68     -5.18100  -2.85251 -35.82917  -3.36305  -5.72907 -16.42726     (-5.181,-3.363) (-2.853,-5.729) (-35.829,-16.427)      25.5864  25.1881  26.8057  
69     -4.61341  -2.90937 -36.06175  -3.25126  -6.10470 -16.28668     (-4.613,-3.251) (-2.909,-6.105) (-36.062,-16.287)      25.79  25.9009  26.7405  
70     -4.04581  -2.96624 -36.29434  -3.13948  -6.48032 -16.14610     (-4.046,-3.139) (-2.966,-6.480) (-36.294,-16.146)      25.9907  26.2181  26.7183  
71     -3.47822  -3.02310 -36.52693  -3.02769  -6.85595 -16.00552     (-3.478,-3.028) (-3.023,-6.856) (-36.527,-16.006)      26.1699  26.5021  26.7683  
72     -2.91063  -3.07996 -36.75951  -2.91591  -7.23157 -15.86493     (-2.911,-2.916) (-3.080,-7.232) (-36.760,-15.865)      26.3688  26.8057  26.8903  
73     -2.34303  -3.13683 -36.99210  -2.80412  -7.60720 -15.72435     (-2.343,-2.804) (-3.137,-7.607) (-36.992,-15.724)      26.5871  26.7193  26.4974  
74     -1.77544  -3.19369 -37.22469  -2.69234  -7.98282 -15.58377     (-1.775,-2.692) (-3.194,-7.983) (-37.225,-15.584)      26.7629  26.3343  25.8082  
75     -1.20785  -3.25055 -37.45727  -2.58055  -8.35845 -15.44319     (-1.208,-2.581) (-3.251,-8.358) (-37.457,-15.443)      26.8474  25.9572  25.1906  
76     -0.64025  -3.30741 -37.68986  -2.46877  -8.73407 -15.30261     (-0.640,-2.469) (-3.307,-8.734) (-37.690,-15.303)      26.9522  25.588  24.6501  
77     -0.07266  -3.36428 -37.92244  -2.35698  -9.10970 -15.16203     (-0.073,-2.357) (-3.364,-9.110) (-37.922,-15.162)      27.077  25.2263  24.1918  
