Fol_.22_.txt     Output is probe cell, reduced cell, NCDist distance between
71    -38.32822  -6.88474 788.57795 -7040.52940 -1565.28523 -391.25162       (-5465.272,-776.707) (-11.871,-4.986) (-26.458,-393.150)      1146.77
72    -38.30632 -11.57992 787.70462 -7033.74334 -1563.69358 -390.92122       (-5469.778,-775.989) (-11.716,-0.136) (-26.591,-402.365)      1153.19
73    -38.28442 -16.27510 786.83128 -7026.95728 -1562.10194 -390.59082       (-22.009,-770.556) (-16.275,-4.714) (-5469.570,-406.866)      1153.68
74    -38.26252 -20.97027 785.95795 -7020.17123 -1560.51029 -390.26041       (-17.292,-764.988) (-20.970,-9.565) (-5469.226,-411.231)      1154.1
75    -38.24062 -25.66545 785.08461 -7013.38517 -1558.91864 -389.93001       (-12.575,-759.419) (-25.665,-14.415) (-5468.881,-415.595)      1154.62
76    -38.21872 -30.36063 784.21128 -7006.59912 -1557.32700 -389.59961       (-7.858,-753.851) (-30.361,-19.265) (-5468.537,-419.960)      1155.24
77    -38.19682 -35.05580 783.33794 -6999.81306 -1555.73535 -389.26920       (-3.141,-748.282) (-35.056,-24.115) (-5468.193,-424.325)      1155.97
78    -38.17492 -39.75098 782.46460 -6993.02700 -1554.14370 -388.93880       (-744.290,-1.576) (-5466.273,-38.175) (-27.389,-427.114)      1154.88
79    -38.15302 -44.44615 781.59127 -6986.24095 -1552.55206 -388.60840       (-743.438,-6.293) (-5461.211,-38.153) (-27.523,-426.761)      1150.03
80    -38.13113 -49.14133 780.71793 -6979.45489 -1550.96041 -388.27800       (-742.587,-11.010) (-5456.150,-38.131) (-27.656,-426.409)      1145.2
81    -38.10923 -53.83651 779.84460 -6972.66884 -1549.36877 -387.94759       (-741.735,-15.727) (-5451.089,-38.109) (-27.789,-426.057)      1140.39
82    -38.08733 -58.53168 778.97126 -6965.88278 -1547.77712 -387.61719       (-740.884,-20.444) (-5446.028,-38.087) (-27.922,-425.705)      1135.61
83    -38.06543 -63.22686 778.09793 -6959.09672 -1546.18547 -387.28679       (-740.032,-25.161) (-5440.966,-38.065) (-28.055,-425.352)      1130.85
84    -38.04353 -67.92204 777.22459 -6952.31067 -1544.59383 -386.95639       (-739.181,-29.879) (-5435.905,-38.044) (-28.188,-425.000)      1126.11
85    -38.02163 -72.61721 776.35126 -6945.52461 -1543.00218 -386.62598       (-738.330,-34.596) (-5430.844,-38.022) (-28.321,-424.648)      1121.4
86    -37.99973 -77.31239 775.47792 -6938.73856 -1541.41053 -386.29558       (-737.478,-39.313) (-5425.782,-38.000) (-28.454,-424.295)      1116.71
87    -37.97783 -82.00757 774.60458 -6931.95250 -1539.81889 -385.96518       (-736.627,-44.030) (-5420.721,-37.978) (-28.588,-423.943)      1112.04
88    -37.95593 -86.70274 773.73125 -6925.16644 -1538.22724 -385.63478       (-735.775,-48.747) (-5415.660,-37.956) (-28.721,-423.591)      1107.4
89    -37.93403 -91.39792 772.85791 -6918.38039 -1536.63560 -385.30437       (-734.924,-53.464) (-5410.599,-37.934) (-28.854,-423.238)      1102.78
90    -37.91213 -96.09310 771.98458 -6911.59433 -1535.04395 -384.97397       (-734.072,-58.181) (-5405.537,-37.912) (-28.987,-422.886)      1098.19
91    -37.89023 -100.78827 771.11124 -6904.80828 -1533.45230 -384.64357       (-733.221,-62.898) (-5400.476,-37.890) (-29.120,-422.534)      1093.62
92    -37.86833 -105.48345 770.23791 -6898.02222 -1531.86066 -384.31316       (-732.370,-67.615) (-5395.415,-37.868) (-29.253,-422.181)      1089.08
93    -37.84643 -110.17862 769.36457 -6891.23616 -1530.26901 -383.98276       (-731.518,-72.332) (-5390.353,-37.846) (-29.386,-421.829)      1084.56
