10PERCENT_2018-03-07.11_27_23.681_.txt     Output is probe cell, reduced cell, NCDist distance between
60    -11.68049   3.94565 -16.42833   5.50637 -56.50421   0.00068       (-2.475,-2.476) (-3.031,-43.016) (-1.470,-1.313)      1.71895
61    -11.66843   3.93867 -16.41436   5.49938 -56.48903  -0.00263       (-2.464,-2.462) (-3.038,-43.029) (-1.477,-1.329)      1.7476
62    -11.65638   3.93168 -16.40039   5.49240 -56.47385  -0.00595       (-2.454,-2.448) (-3.045,-43.041) (-1.484,-1.345)      1.77625
63    -11.64432   3.92470 -16.38643   5.48542 -56.45867  -0.00927       (-2.443,-2.434) (-3.052,-43.054) (-1.491,-1.361)      1.8049
64    -11.63227   3.91772 -16.37246   5.47844 -56.44350  -0.01258       (-2.432,-2.420) (-3.059,-43.067) (-1.498,-1.377)      1.83355
65    -11.62021   3.91073 -16.35849   5.47145 -56.42832  -0.01590       (-2.422,-2.406) (-3.066,-43.080) (-1.505,-1.393)      1.8622
66    -11.60816   3.90375 -16.34453   5.46447 -56.41314  -0.01922       (-2.411,-2.392) (-3.073,-43.092) (-1.512,-1.409)      1.89085
67    -11.59610   3.89677 -16.33056   5.45749 -56.39796  -0.02254       (-2.400,-2.378) (-3.080,-43.105) (-1.519,-1.425)      1.9195
68    -11.58405   3.88978 -16.31659   5.45050 -56.38278  -0.02585       (-2.390,-2.364) (-3.087,-43.118) (-1.526,-1.441)      1.94815
69    -11.57199   3.88280 -16.30263   5.44352 -56.36760  -0.02917       (-2.379,-2.350) (-3.094,-43.131) (-1.533,-1.456)      1.9768
70    -11.55994   3.87582 -16.28866   5.43654 -56.35242  -0.03249       (-2.369,-2.336) (-3.100,-43.143) (-1.540,-1.472)      2.00545
71    -11.54788   3.86883 -16.27469   5.42955 -56.33724  -0.03580       (-2.358,-2.322) (-3.107,-43.156) (-1.547,-1.488)      2.0341
72    -11.53583   3.86185 -16.26073   5.42257 -56.32206  -0.03912       (-2.347,-2.308) (-3.114,-43.169) (-1.554,-1.504)      2.06274
73    -11.52377   3.85487 -16.24676   5.41559 -56.30688  -0.04244       (-2.337,-2.294) (-3.121,-43.182) (-1.561,-1.520)      2.09139
74    -11.51172   3.84788 -16.23279   5.40860 -56.29170  -0.04575       (-2.326,-2.280) (-3.128,-43.194) (-1.568,-1.536)      2.12004
75    -11.49966   3.84090 -16.21883   5.40162 -56.27652  -0.04907       (-2.315,-2.266) (-3.135,-43.207) (-1.575,-1.552)      2.14869
76    -11.48761   3.83392 -16.20486   5.39464 -56.26134  -0.05239       (-2.305,-2.252) (-3.142,-43.220) (-1.582,-1.568)      2.17702
77    -11.47555   3.82693 -16.19089   5.38765 -56.24616  -0.05571       (-2.294,-2.238) (-3.149,-43.233) (-1.589,-1.583)      2.20259
78    -11.46350   3.81995 -16.17693   5.38067 -56.23098  -0.05902       (-2.283,-2.224) (-3.156,-43.245) (-1.596,-1.599)      2.22823
79    -11.45144   3.81297 -16.16296   5.37369 -56.21580  -0.06234       (-2.273,-2.210) (-3.163,-43.258) (-1.603,-1.615)      2.25395
80    -11.43939   3.80598 -16.14899   5.36670 -56.20062  -0.06566       (-2.262,-2.196) (-3.170,-43.271) (-1.610,-1.631)      2.27973
