Fol_2018-03-05.09_12_29.28_.txt     Output is probe cell, reduced cell, NCDist distance between
63    -10.18467   1.64169   7.75377 -34.79609  -9.06924 -37.16293       (-9.567,-1.315) (-6.438,-8.080) (-3.746,-27.441)      3.86959
64    -10.18208   1.63151   7.74285 -34.75951  -9.07042 -37.15046       (-9.595,-1.328) (-6.415,-8.047) (-3.767,-27.472)      3.93253
65    -10.17950   1.62133   7.73194 -34.72292  -9.07160 -37.13799       (-9.624,-1.340) (-6.392,-8.014) (-3.787,-27.503)      3.99546
66    -10.17691   1.61115   7.72103 -34.68634  -9.07277 -37.12553       (-9.653,-1.352) (-6.369,-7.980) (-3.808,-27.534)      4.0584
67    -10.17433   1.60097   7.71012 -34.64976  -9.07395 -37.11306       (-9.681,-1.364) (-6.346,-7.947) (-3.828,-27.565)      4.12133
68    -10.17174   1.59079   7.69920 -34.61317  -9.07513 -37.10060       (-9.710,-1.376) (-6.323,-7.914) (-3.848,-27.596)      4.18427
69    -10.16916   1.58061   7.68829 -34.57659  -9.07630 -37.08813       (-9.739,-1.388) (-6.300,-7.881) (-3.869,-27.627)      4.24721
70    -10.16657   1.57043   7.67738 -34.54001  -9.07748 -37.07566       (-9.767,-1.400) (-6.277,-7.848) (-3.889,-27.658)      4.31015
71    -10.16399   1.56024   7.66647 -34.50342  -9.07866 -37.06320       (-9.796,-1.412) (-6.254,-7.815) (-3.910,-27.688)      4.37309
72    -10.16140   1.55006   7.65555 -34.46684  -9.07983 -37.05073       (-9.824,-1.424) (-6.231,-7.781) (-3.930,-27.719)      4.43603
73    -10.15882   1.53988   7.64464 -34.43026  -9.08101 -37.03827       (-9.853,-1.436) (-6.208,-7.748) (-3.951,-27.750)      4.49898
74    -10.15623   1.52970   7.63373 -34.39367  -9.08218 -37.02580       (-9.882,-1.448) (-6.185,-7.715) (-3.971,-27.781)      4.56192
75    -10.15364   1.51952   7.62282 -34.35709  -9.08336 -37.01333       (-9.910,-1.461) (-6.162,-7.682) (-3.991,-27.812)      4.62486
76    -10.15106   1.50934   7.61191 -34.32050  -9.08454 -37.00087       (-9.939,-1.473) (-6.139,-7.649) (-4.012,-27.843)      4.68781
77    -10.14847   1.49916   7.60099 -34.28392  -9.08571 -36.98840       (-9.967,-1.485) (-6.116,-7.615) (-4.032,-27.874)      4.75076
78    -10.14589   1.48898   7.59008 -34.24734  -9.08689 -36.97594       (-9.996,-1.497) (-6.093,-7.582) (-4.053,-27.905)      4.8137
79    -10.14330   1.47880   7.57917 -34.21075  -9.08807 -36.96347       (-10.025,-1.509) (-6.070,-7.549) (-4.073,-27.936)      4.87665
80    -10.14072   1.46862   7.56826 -34.17417  -9.08924 -36.95100       (-10.053,-1.521) (-6.047,-7.516) (-4.093,-27.966)      4.9396
81    -10.13813   1.45844   7.55734 -34.13759  -9.09042 -36.93854       (-10.082,-1.533) (-6.024,-7.483) (-4.114,-27.997)      5.00255
82    -10.13555   1.44826   7.54643 -34.10100  -9.09160 -36.92607       (-10.110,-1.545) (-6.001,-7.450) (-4.134,-28.028)      5.0655
83    -10.13296   1.43808   7.53552 -34.06442  -9.09277 -36.91361       (-10.139,-1.557) (-5.978,-7.416) (-4.155,-28.059)      5.12845
84    -10.13038   1.42790   7.52461 -34.02784  -9.09395 -36.90114       (-10.168,-1.569) (-5.955,-7.383) (-4.175,-28.090)      5.1914
