Fol_2018-03-05.14_01_57.16_.txt     Output is probe cell, reduced cell, NCDist distance between
158    -15.62638 -15.38324 -10.60907 -42.33549  10.86273 -14.51610       (-0.254,-31.726) (-25.992,-4.510) (-10.609,-3.400)      10.371
159    -15.63101 -15.36864 -10.63061 -42.29112  10.84882 -14.50263       (-0.218,-31.661) (-25.999,-4.564) (-10.631,-3.436)      10.3767
160    -15.63564 -15.35404 -10.65215 -42.24675  10.83491 -14.48916       (-0.183,-31.595) (-26.006,-4.618) (-10.652,-3.471)      10.3835
161    -15.64027 -15.33944 -10.67369 -42.20238  10.82100 -14.47568       (-0.147,-31.529) (-26.013,-4.672) (-10.674,-3.507)      10.3912
162    -15.64490 -15.32484 -10.69523 -42.15801  10.80709 -14.46221       (-0.112,-31.463) (-26.020,-4.726) (-10.695,-3.543)      10.3999
163    -15.64953 -15.31024 -10.71677 -42.11364  10.79318 -14.44874       (-0.076,-31.397) (-26.027,-4.780) (-10.717,-3.579)      10.4096
164    -15.65416 -15.29564 -10.73831 -42.06926  10.77927 -14.43527       (-0.041,-31.331) (-26.034,-4.834) (-10.738,-3.615)      10.4203
165    -15.65879 -15.28104 -10.75985 -42.02489  10.76536 -14.42179       (-0.006,-31.265) (-26.041,-4.888) (-10.760,-3.651)      10.432
166    -15.66342 -15.26644 -10.78139 -41.98052  10.75145 -14.40832       (-0.030,-31.229) (-26.018,-10.751) (-4.912,-3.657)      10.4032
167    -15.66805 -15.25184 -10.80293 -41.93615  10.73754 -14.39485       (-0.065,-31.199) (-25.989,-10.738) (-4.931,-3.657)      10.367
168    -15.67268 -15.23724 -10.82447 -41.89178  10.72364 -14.38137       (-0.101,-31.168) (-25.961,-10.724) (-4.949,-3.658)      10.3311
169    -15.67731 -15.22264 -10.84601 -41.84741  10.70973 -14.36790       (-0.136,-31.138) (-25.932,-10.710) (-4.968,-3.658)      10.2953
170    -15.68194 -15.20804 -10.86755 -41.80304  10.69582 -14.35443       (-0.172,-31.107) (-25.904,-10.696) (-4.986,-3.659)      10.2598
171    -15.68657 -15.19344 -10.88910 -41.75867  10.68191 -14.34096       (-0.207,-31.077) (-25.875,-10.682) (-5.005,-3.659)      10.2246
172    -15.69120 -15.17884 -10.91064 -41.71430  10.66800 -14.32748       (-0.243,-31.046) (-25.847,-10.668) (-5.023,-3.659)      10.1895
173    -15.69584 -15.16424 -10.93218 -41.66993  10.65409 -14.31401       (-0.278,-31.016) (-25.818,-10.654) (-5.042,-3.660)      10.1547
174    -15.70047 -15.14964 -10.95372 -41.62556  10.64018 -14.30054       (-0.314,-30.985) (-25.790,-10.640) (-5.060,-3.660)      10.1201
175    -15.70510 -15.13504 -10.97526 -41.58119  10.62627 -14.28706       (-0.349,-30.955) (-25.761,-10.626) (-5.079,-3.661)      10.0857
176    -15.70973 -15.12044 -10.99680 -41.53682  10.61236 -14.27359       (-0.384,-30.924) (-25.733,-10.612) (-5.097,-3.661)      10.0516
177    -15.71436 -15.10584 -11.01834 -41.49245  10.59845 -14.26012       (-0.420,-30.894) (-25.704,-10.598) (-5.116,-3.662)      10.0177
178    -15.71899 -15.09125 -11.03988 -41.44808  10.58454 -14.24665       (-0.455,-30.864) (-25.676,-10.585) (-5.134,-3.662)      9.984
179    -15.72362 -15.07665 -11.06142 -41.40371  10.57064 -14.23317       (-0.491,-30.833) (-25.647,-10.571) (-5.153,-3.663)      9.95058
180    -15.72825 -15.06205 -11.08296 -41.35934  10.55673 -14.21970       (-0.526,-30.803) (-25.619,-10.557) (-5.172,-3.663)      9.9174
181    -15.73288 -15.04745 -11.10450 -41.31497  10.54282 -14.20623       (-0.562,-30.772) (-25.590,-10.543) (-5.190,-3.663)      9.88448
