Fol_.5_.txt     Output is probe cell, reduced cell, NCDist distance between
67    481.56397 1122.58408 1066.19448 -5527.68533 -2086.86337 -2636.59389       (-391.426,-12.015) (-1059.077,-481.564) (-159.456,-45.526)      204.478
68    481.02432 1121.26605 1064.97578 -5522.71119 -2085.10502 -2634.23939       (-391.707,-13.234) (-1060.534,-481.024) (-159.217,-44.847)      205.862
69    480.48468 1119.94803 1063.75707 -5517.73705 -2083.34667 -2631.88489       (-391.989,-14.453) (-1061.992,-480.485) (-158.979,-44.167)      207.259
70    479.94503 1118.63001 1062.53837 -5512.76292 -2081.58832 -2629.53039       (-392.270,-15.671) (-1063.449,-479.945) (-158.740,-43.488)      208.668
71    479.40539 1117.31198 1061.31966 -5507.78878 -2079.82997 -2627.17589       (-392.552,-16.890) (-1064.907,-479.405) (-158.501,-42.809)      210.089
72    478.86574 1115.99396 1060.10096 -5502.81465 -2078.07162 -2624.82139       (-392.833,-18.109) (-1066.364,-478.866) (-158.262,-42.130)      211.521
73    478.32610 1114.67594 1058.88225 -5497.84051 -2076.31327 -2622.46689       (-393.115,-19.328) (-1067.822,-478.326) (-158.024,-41.451)      212.965
74    477.78645 1113.35791 1057.66355 -5492.86638 -2074.55493 -2620.11239       (-393.397,-20.546) (-1069.279,-477.786) (-157.785,-40.772)      214.421
75    477.24681 1112.03989 1056.44485 -5487.89224 -2072.79658 -2617.75789       (-393.678,-21.765) (-1070.737,-477.247) (-157.546,-40.093)      215.887
76    476.70717 1110.72187 1055.22614 -5482.91810 -2071.03823 -2615.40339       (-393.960,-22.984) (-1072.194,-476.707) (-157.308,-39.414)      217.364
77    476.16752 1109.40384 1054.00744 -5477.94397 -2069.27988 -2613.04889       (-394.241,-24.202) (-1073.651,-476.168) (-157.069,-38.735)      218.852
78    475.62788 1108.08582 1052.78873 -5472.96983 -2067.52153 -2610.69439       (-394.523,-25.421) (-1075.109,-475.628) (-156.830,-38.056)      220.35
79    475.08823 1106.76780 1051.57003 -5467.99570 -2065.76318 -2608.33989       (-394.804,-26.640) (-1076.566,-475.088) (-156.591,-37.377)      221.858
80    474.54859 1105.44977 1050.35133 -5463.02156 -2064.00483 -2605.98539       (-395.086,-27.859) (-1078.024,-474.549) (-156.353,-36.698)      223.377
81    474.00894 1104.13175 1049.13262 -5458.04743 -2062.24648 -2603.63089       (-395.367,-29.077) (-1079.481,-474.009) (-156.114,-36.019)      224.905
82    473.46930 1102.81373 1047.91392 -5453.07329 -2060.48814 -2601.27639       (-395.649,-30.296) (-1080.939,-473.469) (-155.875,-35.340)      226.442
83    472.92965 1101.49571 1046.69521 -5448.09915 -2058.72979 -2598.92189       (-395.930,-31.515) (-1082.396,-472.930) (-155.636,-34.661)      227.989
84    472.39001 1100.17768 1045.47651 -5443.12502 -2056.97144 -2596.56739       (-396.212,-32.733) (-1083.853,-472.390) (-155.398,-33.982)      229.545
85    471.85036 1098.85966 1044.25780 -5438.15088 -2055.21309 -2594.21289       (-396.494,-33.952) (-1085.311,-471.850) (-155.159,-33.303)      231.11
86    471.31072 1097.54164 1043.03910 -5433.17675 -2053.45474 -2591.85839       (-396.775,-35.171) (-1086.768,-471.311) (-154.920,-32.623)      232.684
87    470.77108 1096.22361 1041.82040 -5428.20261 -2051.69639 -2589.50389       (-397.057,-36.389) (-1088.226,-470.771) (-154.681,-31.944)      234.266
