Fol_.82_.txt     Output is probe cell, reduced cell, NCDist distance between
71    294.52745 1436.42328 1093.74406 -11784.06048 -2291.75743 -8558.45437       (-6827.995,-608.958) (-5581.339,-190.258) (-951.638,-104.269)      1146.85
72    294.20845 1428.29584 1091.93528 -11772.84826 -2289.62964 -8554.42340       (-6838.145,-609.277) (-5592.073,-188.449) (-945.638,-105.759)      1162.96
73    293.88945 1420.16840 1090.12650 -11761.63604 -2287.50186 -8550.39243       (-6848.295,-609.596) (-5602.807,-186.641) (-939.638,-107.249)      1179.08
74    293.57045 1412.04096 1088.31772 -11750.42381 -2285.37408 -8546.36145       (-6858.445,-609.915) (-5613.541,-184.832) (-933.639,-108.739)      1195.2
75    293.25145 1403.91352 1086.50894 -11739.21159 -2283.24630 -8542.33048       (-6868.595,-610.234) (-5624.275,-183.023) (-927.639,-110.228)      1211.32
76    292.93245 1395.78608 1084.70016 -11727.99937 -2281.11852 -8538.29950       (-6878.745,-610.553) (-5635.009,-181.214) (-921.639,-111.718)      1227.44
77    292.61345 1387.65864 1082.89137 -11716.78715 -2278.99074 -8534.26853       (-6888.895,-610.872) (-5645.743,-179.405) (-915.640,-113.208)      1243.56
78    292.29445 1379.53120 1081.08259 -11705.57493 -2276.86296 -8530.23756       (-6899.045,-611.191) (-5656.477,-177.597) (-909.640,-114.698)      1259.68
79    291.97545 1371.40376 1079.27381 -11694.36270 -2274.73518 -8526.20658       (-6909.195,-611.510) (-5667.212,-175.788) (-903.640,-116.188)      1275.8
80    291.65645 1363.27632 1077.46503 -11683.15048 -2272.60739 -8522.17561       (-6919.345,-611.829) (-5677.946,-173.979) (-897.641,-117.677)      1291.92
81    291.33745 1355.14888 1075.65625 -11671.93826 -2270.47961 -8518.14464       (-6929.495,-612.148) (-5688.680,-172.170) (-891.641,-119.167)      1308.04
82    291.01845 1347.02145 1073.84747 -11660.72604 -2268.35183 -8514.11366       (-6939.645,-612.467) (-5699.414,-170.362) (-885.641,-120.657)      1324.16
83    290.69945 1338.89401 1072.03869 -11649.51382 -2266.22405 -8510.08269       (-6949.795,-612.786) (-5710.148,-168.553) (-879.642,-122.147)      1340.28
84    290.38045 1330.76657 1070.22991 -11638.30159 -2264.09627 -8506.05171       (-6959.945,-613.105) (-5720.882,-166.744) (-873.642,-123.636)      1356.4
85    290.06145 1322.63913 1068.42113 -11627.08937 -2261.96849 -8502.02074       (-6970.095,-613.424) (-5731.616,-164.935) (-867.642,-125.126)      1372.52
86    289.74245 1314.51169 1066.61235 -11615.87715 -2259.84071 -8497.98977       (-6980.245,-613.743) (-5742.350,-163.126) (-861.643,-126.616)      1388.64
87    289.42345 1306.38425 1064.80357 -11604.66493 -2257.71293 -8493.95879       (-6990.395,-614.062) (-5753.085,-161.318) (-855.643,-128.106)      1404.75
88    289.10445 1298.25681 1062.99479 -11593.45271 -2255.58515 -8489.92782       (-7000.545,-614.381) (-5763.819,-159.509) (-849.643,-129.596)      1420.87
89    288.78544 1290.12937 1061.18601 -11582.24048 -2253.45736 -8485.89684       (-7010.695,-614.700) (-5774.553,-157.700) (-843.644,-131.085)      1436.99
90    288.46644 1282.00193 1059.37723 -11571.02826 -2251.32958 -8481.86587       (-7020.845,-615.019) (-5785.287,-155.891) (-837.644,-132.575)      1453.11
91    288.14744 1273.87449 1057.56845 -11559.81604 -2249.20180 -8477.83490       (-7030.995,-615.338) (-5796.021,-154.083) (-831.645,-134.065)      1469.23
92    287.82844 1265.74705 1055.75967 -11548.60382 -2247.07402 -8473.80392       (-7041.145,-615.657) (-5806.755,-152.274) (-825.645,-135.555)      1485.35
93    287.50944 1257.61961 1053.95089 -11537.39160 -2244.94624 -8469.77295       (-7051.295,-615.976) (-5817.489,-150.465) (-819.645,-137.044)      1501.47
94    287.19044 1249.49218 1052.14210 -11526.17937 -2242.81846 -8465.74197       (-7061.445,-616.295) (-5828.223,-148.656) (-813.646,-138.534)      1517.59
95    286.87144 1241.36474 1050.33332 -11514.96715 -2240.69068 -8461.71100       (-7071.595,-616.614) (-5838.957,-146.847) (-807.646,-140.024)      1533.71
96    286.55244 1233.23730 1048.52454 -11503.75493 -2238.56290 -8457.68003       (-7081.745,-616.933) (-5849.692,-145.039) (-801.646,-141.514)      1549.83
97    286.23344 1225.10986 1046.71576 -11492.54271 -2236.43511 -8453.64905       (-7091.895,-617.252) (-5860.426,-143.230) (-795.647,-143.004)      1565.95
98    285.91444 1216.98242 1044.90698 -11481.33049 -2234.30733 -8449.61808       (-7102.045,-617.571) (-5871.160,-141.421) (-789.647,-144.493)      1582.07
99    285.59544 1208.85498 1043.09820 -11470.11826 -2232.17955 -8445.58711       (-7112.195,-617.890) (-5881.894,-139.612) (-783.647,-145.983)      1598.19
100    285.27644 1200.72754 1041.28942 -11458.90604 -2230.05177 -8441.55613       (-7122.345,-618.209) (-5892.628,-137.804) (-777.648,-147.473)      1614.31
101    284.95744 1192.60010 1039.48064 -11447.69382 -2227.92399 -8437.52516       (-7132.495,-618.528) (-5903.362,-135.995) (-771.648,-148.963)      1630.42
102    284.63844 1184.47266 1037.67186 -11436.48160 -2225.79621 -8433.49418       (-7142.645,-618.847) (-5914.096,-134.186) (-765.648,-150.452)      1646.54
103    284.31944 1176.34522 1035.86308 -11425.26938 -2223.66843 -8429.46321       (-7152.795,-619.166) (-5924.830,-132.377) (-759.649,-151.942)      1662.66
104    284.00044 1168.21778 1034.05430 -11414.05715 -2221.54065 -8425.43224       (-7162.945,-619.485) (-5935.565,-130.568) (-753.649,-153.432)      1678.78
105    283.68144 1160.09035 1032.24552 -11402.84493 -2219.41287 -8421.40126       (-7173.095,-619.804) (-5946.299,-128.760) (-747.649,-154.922)      1694.9
106    283.36243 1151.96291 1030.43674 -11391.63271 -2217.28508 -8417.37029       (-7183.245,-620.123) (-5957.033,-126.951) (-741.650,-156.412)      1711.02
107    283.04343 1143.83547 1028.62796 -11380.42049 -2215.15730 -8413.33931       (-7193.395,-620.442) (-5967.767,-125.142) (-735.650,-157.901)      1727.14
108    282.72443 1135.70803 1026.81918 -11369.20827 -2213.02952 -8409.30834       (-7203.545,-620.761) (-5978.501,-123.333) (-729.650,-159.391)      1743.26
109    282.40543 1127.58059 1025.01040 -11357.99604 -2210.90174 -8405.27737       (-7213.695,-621.080) (-5989.235,-121.524) (-723.651,-160.881)      1759.38
110    282.08643 1119.45315 1023.20161 -11346.78382 -2208.77396 -8401.24639       (-7223.845,-621.399) (-5999.969,-119.716) (-717.651,-162.371)      1775.5
111    281.76743 1111.32571 1021.39283 -11335.57160 -2206.64618 -8397.21542       (-7233.995,-621.718) (-6010.703,-117.907) (-711.651,-163.861)      1791.62
112    281.44843 1103.19827 1019.58405 -11324.35938 -2204.51840 -8393.18445       (-7244.145,-622.037) (-6021.438,-116.098) (-705.652,-165.350)      1807.74
113    281.12943 1095.07083 1017.77527 -11313.14716 -2202.39062 -8389.15347       (-7254.295,-622.356) (-6032.172,-114.289) (-699.652,-166.840)      1823.86
114    280.81043 1086.94339 1015.96649 -11301.93493 -2200.26283 -8385.12250       (-7264.445,-622.675) (-6042.906,-112.481) (-693.652,-168.330)      1839.98
115    280.49143 1078.81595 1014.15771 -11290.72271 -2198.13505 -8381.09152       (-7274.595,-622.994) (-6053.640,-110.672) (-687.653,-169.820)      1856.1
116    280.17243 1070.68851 1012.34893 -11279.51049 -2196.00727 -8377.06055       (-7284.745,-623.313) (-6064.374,-108.863) (-681.653,-171.309)      1872.21
117    279.85343 1062.56108 1010.54015 -11268.29827 -2193.87949 -8373.02958       (-7294.895,-623.632) (-6075.108,-107.054) (-675.653,-172.799)      1888.33
118    279.53443 1054.43364 1008.73137 -11257.08605 -2191.75171 -8368.99860       (-7305.045,-623.951) (-6085.842,-105.245) (-669.654,-174.289)      1904.45
119    279.21543 1046.30620 1006.92259 -11245.87382 -2189.62393 -8364.96763       (-7315.195,-624.270) (-6096.576,-103.437) (-663.654,-175.779)      1920.57
120    278.89643 1038.17876 1005.11381 -11234.66160 -2187.49615 -8360.93665       (-7325.345,-624.589) (-6107.311,-101.628) (-657.654,-177.269)      1936.69
121    278.57743 1030.05132 1003.30503 -11223.44938 -2185.36837 -8356.90568       (-7335.495,-624.908) (-6118.045,-99.819) (-651.655,-178.758)      1952.81
122    278.25843 1021.92388 1001.49625 -11212.23716 -2183.24059 -8352.87471       (-7345.645,-625.227) (-6128.779,-98.010) (-645.655,-180.248)      1968.93
123    277.93943 1013.79644 999.68747 -11201.02494 -2181.11280 -8348.84373       (-7355.795,-625.546) (-6139.513,-96.202) (-639.655,-181.738)      1985.05
